DateTime,AddedIPs,RemovedIPs
1529633025,2,0
1529636641,2,0
1529640217,1,0
1529643817,1,0
1529647415,2,0
1529658218,2,0
1529661833,2,0
1529665413,0,1
1529669022,0,1
1529672628,0,2
1529679806,1,2
1529683426,1,1
1529687014,3,2
1529697808,2,0
1529701399,1,1
1529708595,1,0
1529712212,4,0
1529715821,7,24
1529719410,2,0
1529723009,4,1
1529726604,2,2
1529730202,3,2
1529733807,2,1
1529741030,1,3
1529748224,1,0
1529751807,1,2
1529755434,0,2
1529759035,1,0
1529762593,1,2
1529766212,2,0
1529769820,0,1
1529773424,1,0
1529777040,0,1
1529780640,1,1
1529784227,0,1
1529787827,2,1
1529791428,1,2
1529795035,5,1
1529798628,1,1
1529802237,14,3
1529805830,11,0
1529809425,1,1
1529813034,0,1
1529816627,1,0
1529820192,1,0
1529823822,0,1
1529834623,1,3
1529838224,1,0
1529841816,1,1
1529845432,2,0
1529849035,2,16
1529852630,0,7
1529856212,2,1
1529859811,2,2
1529863399,3,0
1529867020,2,1
1529870635,5,1
1529874222,6,1
1529877823,2,0
1529881424,2,1
1529885035,2,0
1529888617,2,1
1529895806,0,1
1529899421,1,3
1529903024,0,2
1529913840,1,2
1529917394,0,1
1529921023,2,0
1529935431,6,0
1529939035,18,0
1529942615,0,1
1529946223,3,1
1529949834,1,1
1529953436,2,0
1529960615,1,0
1529964230,1,0
1529967817,4,0
1529971415,2,2
1529978577,1,1
1529982198,2,3
1529985849,1,0
1529989439,0,1
1529993024,0,4
1529996622,1,0
1530000231,2,0
1530003831,0,1
1530007441,2,1
1530011048,0,2
1530014632,0,1
1530018130,0,1
1530021843,1,0
1530025419,0,1
1530029038,3,0
1530036239,2,0
1530039853,2,0
1530043412,1,0
1530047030,1,0
1530050637,1,0
1530054245,2,3
1530057823,2,2
1530061426,0,1
1530065040,2,3
1530075800,0,1
1530082994,0,2
1530086635,0,2
1530090200,1,1
1530093845,0,2
1530097424,0,2
1530101032,2,2
1530104633,1,2
1530115396,1,0
1530119029,1,1
1530122628,0,1
1530126223,2,3
1530129810,2,0
1530133433,3,0
1530140619,0,5
1530144235,5,2
1530147821,4,1
1530151415,25,3
1530155009,4,0
1530158628,1,0
1530162224,0,3
1530165819,0,1
1530169431,0,3
1530176628,1,0
1530183819,1,0
1530187438,0,3
1530191015,1,0
1530194620,2,1
1530198197,1,4
1530201822,0,1
1530205421,1,2
1530212620,3,0
1530216243,1,0
1530219814,1,0
1530223424,0,1
1530227019,0,1
1530230622,0,1
1530234220,3,0
1530237832,0,1
1530241437,1,3
1530245010,1,1
1530248628,2,0
1530252169,2,1
1530255826,0,2
1530263031,1,1
1530266635,1,0
1530270243,0,1
1530273833,1,0
1530277429,1,1
1530281042,2,0
1530291816,1,1
1530295420,1,0
1530302620,1,2
1530306206,1,2
1530313431,3,1
1530317021,1,0
1530320635,4,5
1530324197,1,1
1530327836,0,4
1530331419,0,2
1530335024,1,2
1530338616,0,1
1530356586,1,1
1530367429,1,0
1530371025,2,1
1530374637,0,1
1530378219,0,2
1530381803,2,2
1530385428,4,0
1530392629,2,1
1530399828,3,4
1530403422,2,1
1530407040,3,9
1530410626,2,11
1530414218,1,2
1530417819,1,2
1530425040,1,0
1530432231,1,0
1530435828,1,0
1530439428,1,1
1530443038,0,2
1530446636,2,1
1530450221,0,2
1530453803,3,3
1530457387,21,0
1530461010,1,2
1530464554,1,3
1530468224,2,2
1530471837,2,1
1530475416,1,6
1530479034,3,3
1530482626,5,3
1530486238,1,3
1530489827,3,1
1530493425,0,2
1530497031,0,3
1530504191,1,1
1530507811,1,0
1530511413,0,1
1530515032,1,0
1530518572,0,1
1530522224,1,1
1530525829,0,3
1530529424,1,3
1530533025,0,1
1530536627,5,1
1530540235,0,5
1530543832,1,21
1530547439,6,0
1530551028,1,0
1530554620,2,0
1530558227,2,0
1530561837,1,0
1530565388,2,0
1530569014,4,1
1530572640,3,0
1530576227,9,4
1530579833,6,3
1530583435,3,1
1530587034,2,7
1530590615,3,0
1530594227,0,3
1530597808,1,0
1530601392,0,1
1530605011,1,3
1530608616,0,1
1530612239,0,3
1530615831,1,0
1530619437,0,1
1530623029,1,0
1530626634,1,0
1530630235,2,0
1530633835,1,1
1530637429,2,1
1530641043,1,1
1530644627,3,0
1530651828,1,2
1530655424,2,2
1530659017,1,1
1530662636,0,1
1530669826,0,2
1530673431,0,1
1530677033,2,0
1530680622,0,1
1530684226,0,1
1530687838,0,1
1530694981,0,2
1530709421,1,1
1530716622,2,1
1530720240,2,2
1530723832,1,0
1530727421,0,1
1530731037,1,0
1530734629,1,1
1530738231,1,1
1530741821,3,2
1530745435,0,1
1530749022,1,3
1530752619,0,3
1530756233,1,28
1530759821,2,2
1530763411,0,1
1530767015,1,1
1530770593,1,0
1530774220,1,0
1530777802,1,0
1530781436,1,1
1530785018,2,1
1530792232,0,1
1530795815,0,1
1530799439,0,1
1530803018,27,0
1530810196,0,3
1530813840,0,1
1530817441,3,1
1530821032,1,4
1530824622,1,3
1530828223,2,0
1530835420,0,1
1530839027,2,2
1530842635,1,0
1530846224,3,1
1530849806,1,0
1530853437,2,1
1530857004,0,2
1530864225,1,2
1530867827,1,0
1530871423,1,0
1530878644,0,1
1530882225,0,1
1530885828,0,2
1530889430,2,0
1530893005,2,0
1530896626,3,1
1530900224,1,1
1530903806,1,1
1530907435,0,3
1530911007,1,0
1530914641,1,0
1530918239,3,0
1530921821,2,2
1530925413,3,4
1530929010,1,1
1530932610,5,1
1530936217,0,2
1530939831,2,0
1530943421,1,1
1530947015,1,0
1530950620,1,0
1530957825,0,2
1530965056,0,3
1530968641,1,0
1530972222,0,1
1530975828,1,3
1530979425,2,0
1530983014,0,2
1530986611,0,1
1530990212,0,2
1530993812,2,0
1530997409,0,1
1531004636,4,2
1531008222,2,3
1531011822,4,2
1531015415,0,2
1531019018,15,1
1531022614,1,1
1531026235,2,0
1531029823,0,1
1531033427,0,2
1531037008,0,1
1531040619,1,2
1531044203,1,1
1531047815,1,2
1531051405,0,1
1531055031,2,0
1531058621,0,5
1531062217,0,18
1531065832,2,3
1531069417,1,2
1531073028,2,2
1531076634,0,1
1531080229,0,1
1531083805,2,4
1531087428,0,4
1531091015,1,1
1531094611,0,1
1531098221,2,2
1531101808,0,3
1531105428,1,0
1531109031,1,3
1531112627,4,2
1531116222,0,2
1531119815,1,0
1531123426,1,0
1531127020,2,0
1531130644,0,1
1531134223,2,0
1531145018,1,0
1531148598,20,0
1531152224,1,7
1531155831,0,2
1531159424,0,1
1531163042,1,3
1531166614,2,2
1531170217,0,2
1531173806,2,1
1531177413,2,2
1531180946,2,4
1531184605,1,4
1531188223,0,5
1531191823,1,7
1531195416,0,1
1531199013,1,2
1531206215,1,1
1531217019,2,0
1531220626,0,2
1531227831,1,0
1531231424,2,1
1531235022,2,1
1531238626,0,1
1531242225,2,3
1531245814,0,2
1531249440,1,4
1531253043,0,3
1531256616,2,0
1531263831,2,0
1531267431,3,1
1531271039,3,0
1531274636,3,1
1531278239,1,1
1531285445,3,0
1531289040,0,1
1531292633,0,1
1531296220,1,0
1531299830,0,2
1531303423,0,1
1531307015,1,0
1531310624,4,1
1531314236,1,1
1531317825,1,0
1531321436,1,0
1531325039,1,1
1531328611,0,1
1531332210,2,2
1531335825,2,3
1531339429,1,0
1531343035,1,1
1531346630,2,1
1531350232,3,1
1531353833,2,0
1531357435,2,1
1531361043,0,2
1531364645,1,0
1531371827,1,0
1531375399,0,2
1531379046,1,1
1531382640,1,3
1531389843,0,1
1531397019,1,1
1531400612,0,1
1531404214,0,3
1531407836,1,17
1531411436,0,1
1531415032,1,0
1531418624,2,1
1531422246,1,2
1531425795,1,2
1531429440,1,1
1531433041,0,6
1531436640,1,0
1531440217,0,1
1531443814,2,0
1531447425,1,1
1531451027,0,1
1531454615,3,0
1531458236,1,1
1531465414,2,1
1531469014,1,0
1531479834,2,0
1531483417,2,1
1531487020,0,1
1531490613,0,3
1531494234,1,1
1531497819,0,1
1531501448,1,1
1531505047,0,1
1531512233,0,2
1531515838,1,3
1531519441,4,0
1531523046,4,1
1531526615,4,0
1531530227,1,4
1531533847,1,0
1531537415,2,3
1531541008,2,0
1531544643,2,0
1531548233,1,0
1531551831,0,2
1531555436,1,0
1531559034,0,1
1531562619,1,0
1531569817,3,0
1531573440,1,1
1531577042,2,1
1531580607,1,1
1531584212,2,1
1531591428,5,2
1531595049,0,2
1531598642,0,1
1531602250,2,2
1531605842,2,0
1531609446,2,1
1531613025,5,1
1531616644,4,1
1531623801,0,23
1531641842,0,1
1531649042,1,1
1531652624,0,1
1531663433,26,0
1531667005,1,2
1531670614,0,2
1531674230,1,0
1531677827,0,2
1531681428,1,2
1531688631,1,2
1531692237,2,0
1531695838,5,1
1531699413,4,1
1531703020,1,1
1531706625,2,2
1531710219,2,1
1531713839,2,2
1531717434,1,2
1531721036,5,0
1531724636,0,1
1531728234,0,1
1531731817,2,2
1531735419,1,2
